Nr,feature,description,category
0,label,Object ID in the segmented image,regionprops
1,convex_area,"Volume of the convex hull image, which is the smallest convex polygon that encloses the region.",regionprops
2,bbox_area,Volume of bounding box,regionprops
3,area,Volume of nucleus mask,regionprops
4,euler_number,Euler characteristic of the set of non-zero pixels.  Computed as number of connected components plus number of holes subtracted by number of tunnels.,regionprops
5,inertia_tensor,Inertia tensor of the region for the rotation around its mass. (Describes distribution of pixel intensities within the image by capturing the moments),regionprops
6,inertia_tensor_eigvals,Eigenvalues of inertia tensor,regionprops
7,max_intensity,Maximum intensity of channel,regionprops
8,min_intensity,Minimum intensity of channel,regionprops
9,mean_intensity,Mean intensity of channel,regionprops
10,moments,Spatial moments up to 3rd order,regionprops
11,moments_central,Central moments (translation invariant) up to 3rd order:,regionprops
12,moments_hu,"Hu moments (translation, scale and rotation invariant).",regionprops
13,moments_normalized,Normalized moments (translation and scale invariant) up to 3rd order:,regionprops
14,moments_weighted,Spatial moments of intensity image up to 3rd order:,regionprops
15,moments_weighted_central,Central moments (translation invariant) of intensity image up to 3rd order:,regionprops
16,moments_weighted_hu,"Hu moments (translation, scale and rotation invariant) of intensity image.",regionprops
17,moments_weighted_normalized,Normalized moments (translation and scale invariant) of intensity image up to 3rd order:,regionprops
18,min_radius,Minimal distance of the centroid to the boundary,morphology
19,max_radius,Maximal distance of the centroid to the boundary,morphology
20,med_radius,Median distance of the centroid to the boundary,morphology
21,avg_radius,Mean distance of the centroid to the boundary,morphology
22,mode_radius,Mode of the radial distances,morphology
23,d25_radius,25%-tile of the radial distances,morphology
24,d75_radius,75%-tile of the radial distances,morphology
25,std_radius,Standard deviation of the radial distances,morphology
26,feret_max,Maximum Feret diameter,morphology
27,centroid-0,z coordinate of centroid,regionprops
28,centroid-1,x coordinate of centroid,regionprops
29,centroid-2,y coordinate of centroid,regionprops
30,area,volume,morphology
31,perimeter,Perimeter,morphology
32,extent,Ratio of the nuclear area of the nucleus and the bounding box in 3D,regionprops
33,bbox_area,Area of the bounding box,morphology
34,convex_area,Area of the convex hull,morphology
35,equivalent_diameter,Diameter of a circle with equal area,regionprops
36,major_axis_length,Length of the major axis of an ellipsoid of equal area,regionprops
37,minor_axis_length,Length of the minor axis of an ellipsoid of equal area,regionprops
38,eccentricity,Eccentricity of an ellipsoid with an equal second-order moment,morphology
39,orientation,Angle between the y-axis and the major axis,morphology
40,concavity,Normalized difference of the area of the convex hull and the actual area,morphology
